1,Bronco Bowl,Rice Bowl (Chicken Teriyaki - dark meat),5.99
2,Bronco Bowl,Rice Bowl (Chicken Teriyaki - white meat),6.59
3,Bronco Bowl,Rice Bowl (salmon),8.99
4,Bronco Bowl,Rice Bowl (bbq beef),7.99
5,Bronco Bowl,Rice Bowl (chicken katsu),7.49
6,Bronco Bowl,Rice Bowl (veggie),5.99
7,Bronco Bowl,Chicken Soup,5.99
8,Bronco Bowl,Miso Soup,2.49
9,Bronco Bowl,Veggie Soup,5.99
10,Bronco Bowl,Udon Soup,5.99
11,Bronco Bowl,Soup extra - sub white meat,0.50
12,Bronco Bowl,Soup extra - add meat,2.00
13,Bronco Bowl,Assorted Sushi,5.29
14,Bronco Bowl,Fountain Drink (24 oz),1.69
15,Bronco Bowl,Fountain Drink (32  oz),1.89
16,Bronco Bowl,Green tea (24 oz),1.69
17,Bronco Bowl,Green Tea (32 oz),1.89
18,Bronco Bowl,Water (20 oz),1.49
19,Carl's Jr,Sausage Egg & Cheese Biscuit (Biscuit),2.49
20,Carl's Jr,Sausage Egg & Cheese Biscuit (Combo),4.09
21,Carl's Jr,Bacon Egg & Cheese Biscuit (Biscuit),2.49
22,Carl's Jr,Bacon Egg & Cheese Biscuit (Combo),4.09
23,Carl's Jr,Monster Biscuit (Biscuit),3.59
24,Carl's Jr,Monster Biscuit (Combo),5.19
25,Carl's Jr,Loaded Omelet (Biscuit),2.49
26,Carl's Jr,Loaded Omelet (Combo),4.59
27,Carl's Jr,Hearty Breakfast Platter (Each),3.19
28,Carl's Jr,Hearty Breakfast Platter (Combo),4.79
29,Carl's Jr,Biscuit N Gravy (Biscuit),1.59
30,Carl's Jr,Biscuit N Gravy (Combo),3.69
31,Carl's Jr,Breakfast Burger (Each),4.29
32,Carl's Jr,Breakfast Burger (Combo),5.99
33,Carl's Jr,Sourdough Breakfast (Biscuit),3.59
34,Carl's Jr,Sourdough Breakfast (Combo),5.69
35,Carl's Jr,Steak & Egg Breakfast Burrito (Each),3.99
36,Carl's Jr,Steak & Egg Breakfast Burrito (Combo),6.19
37,Carl's Jr,Loaded Breakfast Burrito (Each),3.79
38,Carl's Jr,Loaded Breakfast Burrito (Combo),5.99
39,Carl's Jr,Big Country Breakfast Burrito (Each),3.59
40,Carl's Jr,Big Country Breakfast Burrito (Combo),5.79
41,Carl's Jr,Made From Scratch Biscuit (Each),1.09
42,Carl's Jr,Made From Scratch Biscuit (6-Pack),3.79
43,Carl's Jr,Bacon & Egg Burrito (Each),3.19
44,Carl's Jr,Bacon & Egg Burrito (Combo),5.09
45,Carl's Jr,Hash Brown Nuggets (Small),1.69
46,Carl's Jr,Hash Brown Nuggets (Medium),1.89
47,Carl's Jr,Hash Brown Nuggets (Large),2.09
48,Carl's Jr,Coffee  (Small),1.69
49,Carl's Jr,Coffee (Medium),1.99
50,Carl's Jr,Coffee (Large),2.19
51,Carl's Jr,Orange Juice,1.99
52,Carl's Jr,The Big Carl (Sandwich),4.29
53,Carl's Jr,The Big Carl (Combo),6.99
54,Carl's Jr,CrissCut Fries,2.79
55,Carl's Jr,Onion Rings,2.79
56,Carl's Jr,Fried Zucchini,2.79
57,Carl's Jr,Natural Cut Fries (Small),2.09
58,Carl's Jr,Natural Cut Fries (Medium),2.39
